DESCRIPTION,QUANTITY_UNIT,MEDICINE_FEE,NAPPI_CODE
Cefaclor Rolab susp 187mg/5ml,50ml,73.34,842672001
Cefril tabs 250mg,20,121,712957006
Cefril tabs 500mg,20,217.21,712965009
Cepacol lozenges,24,18.03,713252006
Cepacol mouthwash,200ml,28.79,713287004
Cephalexin Betacef cephalexin 250mg caps,20,39.22,824461002
Cephalexin Betacef cephalexin 500mg,20,71.48,839388004
Cephalexin Rolab  500mg caps,20,79.78,784184003
Cerumol ear drops,10ml,36.36,713430001
Chloramphenicol caps 250mg,42,18.92,999999999
Chloramphenicol Rolab caps 250mg,30,13.51,785784020
Chlorcol Caps 250mg,30,13.07,714151009
Chlorcol susp 125mg/5ml,100ml,40.44,714151017
Chocaton Chewable tabs,30,29.28,838438008
Chocaton syrup,200ml,31.96,714259004
Cinnarizine Rolab 25mg tabs,10,12.54,704024039
Cinnarizine Rolab 75mg caps,10,26.24,781975026
Cipex suspension 100mg/5ml,30ml,13.82,828297002
Cipex Tabs 100mg,6,10.26,878227008
Ciprobay tabs 250mg,10,73.1,784354006
Ciprobay tabs 500mg,10,102.63,786403004
Ciprofloxacin 500mg,10,117.23,999999999
Ciprofloxacin 500mg,14,164.13,999999999
Citro soda granules,60g,23.67,821837001
Citro soda granules,120g,33.65,821837028
Citro soda granules,120g,18,999999999
Claforan 500mg inj,1,79.94,714569003
Claforan inj vial   1g,1,129.64,714577006
Claforan inj vial 500mg,1,77.13,714569003
Claforan Klafotaxime 500mg inj,1,47.82,870749005
Claforan Pharmacare cefotaxime 500mg inj,1,58.2,889203001
Clamentin 375mg tabs,30,137.32,842516015
Clamentin S 156mg/5ml syrup,100ml,39.99,842524002
Clamentin SF 312mg/5ml syrup,100ml,77.33,842532005
Clamentin tabs 375mg,30,119.4,842516026
Clarityne syrup 5mg/5ml,100ml,100.38,789291002
Clarityne tabs 10mg,10,58.83,831522038
Clarityne tabs 10mg,30,184.51,785113002
Clavumox S syrup 156mg/5ml,100ml,46.89,873497007
Clavumox SF syrup 312mg/5ml,100ml,84.65,873500008
Clavumox tabs 375mg,30,150.9,873489004
Clomid,5,69.39,714771007
Clopamon tabs 10mg,10,7.64,714828017
Clopamon tabs 10mg injection,2ml,6.06,714836001
Clopamon tabs suspension 5mg/5ml,100ml,24.52,714844004
Clotrimazole topical cream Apo50mg/5ml,20g,29.17,822922002
Cloxacillin 125mg/ml syrup,100ml,0,999999999
Cloxacillin Rolab 250mg caps,20,45.37,714755001
Cloxacillin Rolab 500mg caps,20,66.67,714763004
Cloxam caps 250/250mg,20,49.87,809616009
Clusivol multivitamin syrup,150ml,33.54,714895008
Codef syrup suppressant 7.5mg,100ml,20.1,715166018
Co-Diovan 160/12.5mg,,168.8,891894004
Co-Diovan 80/12.5mg,30,168.8,839884001
Cofendyl syrup,100ml,26.7,827177003
Colchicine tabs 0.5mg,10,16.72,715271008
Coryx effervescent Syrup,100ml,24.78,827460007
Coryx effervescent tabs,12,35.42,797405003
Cyklokapron 500mg tabs,15,61.79,717134016
Daktarin oral gel,30g,94.53,835307018
Depo Medrol inj. 40mg/ml,1ml,31.79,718408004
Depo Medrol inj. 40mg/ml,2ml,59.36,718475003
Depo Provera inj 150mg/ml,1ml,22.62,718440005
Depo testosterone inj 100mg/ml,3ml,80,999999999
Dequadin lozenges,20,22.43,718610016
Dequadin Mouth paint,10ml,40.92,718629019
Dermovate cream,25g,65.33,718718003
Dermovate ointment,25g,65.33,718726006
Diamox 250mg tabs,30,52.97,719471001
Diazepam Rolab 5mg tabs,30,5.85,719436006
Diazepam Rolab Inj 10mg/2ml,2ml,6.66,825212006
Diclofenac Adco 50mg tabs,21,33.79,788597027
Diclofenac Adco inj 75mg,3ml,6.3,701114010
Diclofenac Panamor inj 75mg,3ml,7.22,780111001
Diclofenac Rolab 50mg tabs,21,31.43,719838029
Diclofenac SR 100mg Rolab,30,109,834327007
Difulcan 150mg tabs,1,80.02,786373008
Dilatrend 12.5mg,30,120,836354001
Dilatrend 25mg,30,127.6,788856006
Dilinct cough syrup,200ml,43.19,720003008
Distalgesics 50mg,30,92.13,720615003
Doxycycline 50mg (Dumoxin),30,78.14,798401028
Doxycyl 100mg caps,20,46.64,809667029
Doxytab 100mg,20,40.93,838691021
Drixine nasal drops 0.025%,10ml,40.84,721425003
Drixine nasal drops 0.05%,10ml,44.62,721433006
Drixine nasal Spray 0.025%,10ml,55.06,721484018
Drixine nasal Spray 0.05%,10ml,54.79,814199003
Dulcolax 5mg tabs,30,24.27,721549004
Ecotrim tabs 81mg,30,12.95,823481018
Electropak rehydration sachets,5 in 1,29.44,781444004
Elocon cream 0.1%,10g,55,782017045
Elocon cream 0.1%,20g,102.39,782017002
Emex syrup,200ml,36.24,784346003
Emex syrup,100ml,21.76,784346011
Enalapril HR Rolab 10mg,30,64.33,867853018
Enalapril HR Rolab 20mg,30,104.14,867861002
Enalapril HR Rolab 5mg,30,45,867845007
Enalapril Renitec 10mg,28,59.62,759783004
Enalapril Renitec 2.5mg,28,51.3,810355019
Enalapril Renitec 20mg,28,96.56,759767009
Enalapril Renitec 5mg,28,41.69,759759006
Epilim caps 200mg,30,56.01,779830008
Epilim G caps 300mg,30,84.04,818674008
Epilim G caps 500mg,30,139.48,723711003
Erythromycin syrup Adco 125mg/5ml,100ml,19.63,786608005
Erythromycin syrup Adco 250mg caps,20,35.65,780561031
Fansidar tabs,3,27.69,725560002
Fenamin caps 250mg,21,10.68,797707026
Fenamin suspension 50mg/5ml,100ml,11.22,797014004
Feroglobin,200ml,42,999999999
Ferrous sulphate 300mg tabs,60,2.6,999999999
Flammazine cream,50g,107.62,726362018
Flixonase 0.05% spray 120,120,142.59,787795003
