NAME,CODE,CODE2,CODE2CATEG,CODE3,GENERICNAME,DESCRIPTION,CATEGORY,IS_INVENTORY,IS_SERVICE,ACTIVE,MEASUREMENT_UNIT,SALES_PRICE,SALE_INCLUDE_TAX,BUY_PRICE,BUY_PRICE_INCLUDE_TAX,ITEM_TAX,AVAILABLE_AS_TREATMENT,AVAILABLE_AS_DRUG,AVAILABLE_AS_LAB_TEST,AVAILABLE_AS_IMAGING_TEST,AVAILABLE_AS_SURGERY_RELATED,AVAILABLE_AS_INPATIENT_ACCOMM,AVAILABLE_AS_DIAGNOSIS,AVAILABLE_AS_CUSTOM_ITEM_TYPE1,AVAILABLE_AS_CUSTOM_ITEM_TYPE1,AVAILABLE_AS_CUSTOM_ITEM_TYPE2,USE_IN_MEDIC_ACCOUNTS,DURG_DEFAULT_DOSAGE,DRUG_DEFAULT_ADMINISTRATION,DRUG_DEFAULT_FREQUENCY,DRUG_DEFAULT_REFILLS,WARNINGS
FLEXOCAM,704828,M54.57    ,,,Meloxicam,FLEXOCAM,,Yes,,Yes,,90.41,101.26,,,,,Yes,,,,,,,,,,,TAB,30,,
MELFLAM,705297,M54.57    ,,,Meloxicam,MELFLAM,,Yes,,Yes,,43.14,48.32,,,,,Yes,,,,,,,,,,,TAB,30,,
COXFLAM,899070,M54.57    ,,,Meloxicam,COXFLAM,,Yes,,Yes,,119.42,133.75,,,,,Yes,,,,,,,,,,,TAB,30,,
MELOXICAM,290388,M54.57    ,,,Meloxicam,MELOXICAM,,Yes,,Yes,,36.77,41.18,,,,,Yes,,,,,,,,,,,TAB,30,,
MELOXICAM,907197,M54.57    ,,,Meloxicam,MELOXICAM,,Yes,,Yes,,36.77,41.18,,,,,Yes,,,,,,,,,,,TAB,30,,
MELOXICAM UNICORN,716169,M54.57    ,,,Meloxicam,MELOXICAM UNICORN,,Yes,,Yes,,76.82,86.04,,,,,Yes,,,,,,,,,,,TAB,30,,
ADCO-MELOXICAM,705376,M54.57    ,,,Meloxicam,ADCO-MELOXICAM,,Yes,,Yes,,45.68,51.16,,,,,Yes,,,,,,,,,,,TAB,30,,
MOBIC 15 MG,842052,M54.57    ,,,Meloxicam,MOBIC 15 MG,,Yes,,Yes,,32.8,36.74,,,,,Yes,,,,,,,,,,,TAB,30,,
MOBIC,824585,M54.57    ,,,Meloxicam,MOBIC,,Yes,,Yes,,270.98,303.5,,,,,Yes,,,,,,,,,,,TAB,30,,
MULTIHANCE AMPOULE 15ML,702976,M54.50    ,,,Gadobenic acid,MULTIHANCE AMPOULE 15ML,,Yes,,Yes,,5895.71,6603.2,,,,,Yes,,,,,,,,,,,INJ,1,,
ESTRADOT,706049,M54.50    ,,,Estradiol,ESTRADOT,,Yes,,Yes,,140.15,156.97,,,,,Yes,,,,,,,,,,,TAB,8,,
ANGELIQ,703438,M54.50,,,Estradiol,ANGELIQ,,Yes,,Yes,,277.91,311.26,,,,,Yes,,,,,,,,,,,TAB,28,,
IBUCINE (WAS IBUMAX),700318,M54.5     ,,,Ibuprofen,IBUCINE (WAS IBUMAX),,Yes,,Yes,,24.96,27.96,,,,,Yes,,,,,,,,,,,TAB,20,,
RANFEN,701654,M54.5     ,,,Ibuprofen,RANFEN,,Yes,,Yes,,293.17,328.35,,,,,Yes,,,,,,,,,,,TAB,20,,
ADCO-IBUPROFEN,780596,M54.5     ,,,Ibuprofen,ADCO-IBUPROFEN,,Yes,,Yes,,18.93,21.2,,,,,Yes,,,,,,,,,,,TAB,20,,
IBUPROFEN,290026,M54.5     ,,,Ibuprofen,IBUPROFEN,,Yes,,Yes,,9.92,11.11,,,,,Yes,,,,,,,,,,,TAB,20,,
NUROFEN FOR CHILDREN STRAWBERRY,712683,M54.5     ,,,Ibuprofen,NUROFEN FOR CHILDREN STRAWBERRY,,Yes,,Yes,,51.84,58.06,,,,,Yes,,,,,,,,,,,SYR,100,,
BRUFEN,710830,M54.5     ,,,Ibuprofen,BRUFEN,,Yes,,Yes,,37.21,41.68,,,,,Yes,,,,,,,,,,,TAB,20,,
INZA,733768,M54.5     ,,,Ibuprofen,INZA,,Yes,,Yes,,9.89,11.08,,,,,Yes,,,,,,,,,,,TAB,20,,
NUROFEN FOR CHILDREN SUGAR FREE,700695,M54.5     ,,,Ibuprofen,NUROFEN FOR CHILDREN SUGAR FREE,,Yes,,Yes,,52.36,58.64,,,,,Yes,,,,,,,,,,,SYR,100,,
SANDOZ IBUPROFEN,703966,M54.5     ,,,Ibuprofen,SANDOZ IBUPROFEN,,Yes,,Yes,,8.61,9.64,,,,,Yes,,,,,,,,,,,TAB,15,,
APO IBUPROFEN 600MG,967243,M54.5     ,,,Ibuprofen,APO IBUPROFEN 600MG,,Yes,,Yes,,99.71,111.68,,,,,Yes,,,,,,,,,,,TAB,12,,
APO IBUPROFEN 400MG,967242,M54.5     ,,,Ibuprofen,APO IBUPROFEN 400MG,,Yes,,Yes,,485.06,543.27,,,,,Yes,,,,,,,,,,,TAB,500,,
APO IBUPROFEN,967312,M54.5     ,,,Ibuprofen,APO IBUPROFEN,,Yes,,Yes,,480,537.6,,,,,Yes,,,,,,,,,,,TAB,15,,
BRUFEN,710849,M54.5     ,,,Ibuprofen,BRUFEN,,Yes,,Yes,,54.87,61.45,,,,,Yes,,,,,,,,,,,TAB,20,,
NUROFEN,748560,M54.5     ,,,Ibuprofen,NUROFEN,,Yes,,Yes,,40.84,45.74,,,,,Yes,,,,,,,,,,,TAB,24,,
IBUMOL,703719,M54.5     ,,,Ibuprofen combinations,IBUMOL,,Yes,,Yes,,47.76,53.49,,,,,Yes,,,,,,,,,,,TAB,30,,
GEN-PAYNE,704606,M54.5     ,,,Ibuprofen combinations,GEN-PAYNE,,Yes,,Yes,,196.19,219.73,,,,,Yes,,,,,,,,,,,CAP,100,,
MYPRODOL,745561,M54.5     ,,,Ibuprofen combinations,MYPRODOL,,Yes,,Yes,,28.69,32.13,,,,,Yes,,,,,,,,,,,CAP,10,,
PARACETAMOL/IBUPROFEN,290561,M54.5     ,,,Ibuprofen combinations,PARACETAMOL/IBUPROFEN,,Yes,,Yes,,52.72,59.05,,,,,Yes,,,,,,,,,,,TAB,100,,
MYBULEN,879290,M54.5     ,,,Ibuprofen combinations,MYBULEN,,Yes,,Yes,,61.01,68.33,,,,,Yes,,,,,,,,,,,TAB,30,,
MYPRODOL,704896,M54.5     ,,,Ibuprofen combinations,MYPRODOL,,Yes,,Yes,,76.87,86.09,,,,,Yes,,,,,,,,,,,CAP,30,,
MYPRODOL,745561,M54.5     ,,,Ibuprofen combinations,MYPRODOL,,Yes,,Yes,,376.39,421.56,,,,,Yes,,,,,,,,,,,CAP,100,,
WINTERGREEN OIL BP,706464,M54.5     ,,,Methysalicylate,WINTERGREEN OIL BP,,Yes,,Yes,,8.45,9.46,,,,,Yes,,,,,,,,,,,OIL,25,,
REPARIL,759864,M54.5     ,,,Methylsalicylate,REPARIL,,Yes,,Yes,,167.09,187.14,,,,,Yes,,,,,,,,,,,GEL,20,,
AMITRIPTYLINE HCL,290103,M54.5     ,,,Amitriptyline,AMITRIPTYLINE HCL,,Yes,,Yes,,78.24,87.63,,,,,Yes,,,,,,,,,,,TAB,100,,
MST CONTINUS,744743,M54.5     ,,,Morphine,MST CONTINUS,,Yes,,Yes,,794.01,889.29,,,,,Yes,,,,,,,,,,,TAB,60,,
MST CONTINUS,744735,M54.5     ,,,Morphine,MST CONTINUS,,Yes,,Yes,,435.33,487.57,,,,,Yes,,,,,,,,,,,TAB,30,,
MORPHINE SULPH FRESENIUS AMPOULE 1ML,744530,M54.5     ,,,Morphine,MORPHINE SULPH FRESENIUS AMPOULE 1ML,,Yes,,Yes,,61.23,68.58,,,,,Yes,,,,,,,,,,,INJ,1,,
NAPFLAM,808474,M54.5     ,,,Naproxen,NAPFLAM,,Yes,,Yes,,49.07,54.96,,,,,Yes,,,,,,,,,,,TAB,30,,
APO NAPROXEN 500MG TAB,267176,M54.5     ,,,Naproxen,APO NAPROXEN 500MG TAB,,Yes,,Yes,,14.64,16.4,,,,,Yes,,,,,,,,,,,TAB,30,,
ADCO-NAPROXEN,785245,M54.5     ,,,Naproxen,ADCO-NAPROXEN,,Yes,,Yes,,14.5,16.24,,,,,Yes,,,,,,,,,,,TAB,30,,
NAFASOL EC,812633,M54.5     ,,,Naproxen,NAFASOL EC,,Yes,,Yes,,41.74,46.75,,,,,Yes,,,,,,,,,,,TAB,30,,
APO NAPROXEN 250MG TAB,267175,M54.5     ,,,Naproxen,APO NAPROXEN 250MG TAB,,Yes,,Yes,,43.04,48.2,,,,,Yes,,,,,,,,,,,TAB,30,,
NAFASOL,810525,M54.5     ,,,Naproxen,NAFASOL,,Yes,,Yes,,116.77,130.78,,,,,Yes,,,,,,,,,,,TAB,30,,
NAPROXEN,290032,M54.5     ,,,Naproxen,NAPROXEN,,Yes,,Yes,,41.81,46.83,,,,,Yes,,,,,,,,,,,TAB,30,,
NAFASOL EC-250,812625,M54.5     ,,,Naproxen,NAFASOL EC-250,,Yes,,Yes,,46.03,51.55,,,,,Yes,,,,,,,,,,,TAB,30,,
NAPFLAM,806447,M54.5     ,,,Naproxen,NAPFLAM,,Yes,,Yes,,187.2,209.66,,,,,Yes,,,,,,,,,,,TAB,30,,
APO NAPROXEN 500MG TAB,967176,M54.5     ,,,Naproxen,APO NAPROXEN 500MG TAB,,Yes,,Yes,,1006.21,1126.96,,,,,Yes,,,,,,,,,,,TAB,30,,
APO NAPROXEN 250MG TAB,967175,M54.5     ,,,Naproxen,APO NAPROXEN 250MG TAB,,Yes,,Yes,,815.18,913,,,,,Yes,,,,,,,,,,,TAB,30,,
NAPROSCRIPT,805246,M54.5     ,,,Naproxen,NAPROSCRIPT,,Yes,,Yes,,219.97,246.37,,,,,Yes,,,,,,,,,,,TAB,30,,
NAPROXEN,901342,M54.5     ,,,Naproxen,NAPROXEN,,Yes,,Yes,,35.52,39.78,,,,,Yes,,,,,,,,,,,TAB,30,,
SANDOZ NAPROXEN,781207,M54.5     ,,,Naproxen,SANDOZ NAPROXEN,,Yes,,Yes,,35.5,39.76,,,,,Yes,,,,,,,,,,,TAB,30,,
NAPROSCRIPT,805238,M54.5     ,,,Naproxen,NAPROSCRIPT,,Yes,,Yes,,24,26.88,,,,,Yes,,,,,,,,,,,TAB,30,,
NAPROXEN,290030,M54.5     ,,,Naproxen,NAPROXEN,,Yes,,Yes,,24,26.88,,,,,Yes,,,,,,,,,,,TAB,30,,
NAPROXEN,905127,M54.5     ,,,Naproxen,NAPROXEN,,Yes,,Yes,,46.19,51.73,,,,,Yes,,,,,,,,,,,TAB,30,,
STOPAYNE,766941,M54.5     ,,,Paracetamol combinations excl. psycholeptics,STOPAYNE,,Yes,,Yes,,45.96,51.48,,,,,Yes,,,,,,,,,,,SYR,100,,
PYNMED SYRUP,789984,M54.5     ,,,Paracetamol combinations excl. psycholeptics,PYNMED SYRUP,,Yes,,Yes,,19.42,21.75,,,,,Yes,,,,,,,,,,,SYR,100,,
ADCO-DOL,780553,M54.5     ,,,Paracetamol combinations excl. psycholeptics,ADCO-DOL,,Yes,,Yes,,23.57,26.4,,,,,Yes,,,,,,,,,,,TAB,20,,
TORA-DOL,819336,M54.5     ,,,Ketoralac,TORA-DOL,,Yes,,Yes,,1142.44,1279.53,,,,,Yes,,,,,,,,,,,TAB,100,,
BETAPYN,708089,M54.5     ,,,Paracetamol combinations excl. psycholeptics,BETAPYN,,Yes,,Yes,,166.59,186.58,,,,,Yes,,,,,,,,,,,TAB,20,,
BETAPYN,708089,M54.5     ,,,Paracetamol combinations,BETAPYN,,Yes,,Yes,,33.4,37.41,,,,,Yes,,,,,,,,,,,TAB,10,,
ADCO-NAPACOD ,745707,M54.5     ,,,Paracetamol combinations,ADCO-NAPACOD ,,Yes,,Yes,,437.6,490.11,,,,,Yes,,,,,,,,,,,TAB,1000,,
SPASMEND,765473,M54.5     ,,,Paracetamol combinations excl. psycholeptics,SPASMEND,,Yes,,Yes,,116.72,130.73,,,,,Yes,,,,,,,,,,,TAB,24,,
PAINCODEIN,895030,M54.5     ,,,Paracetamol combinations excl. psycholeptics,PAINCODEIN,,Yes,,Yes,,2.13,2.39,,,,,Yes,,,,,,,,,,,TAB,20,,
TRAMAHEXAL,864900,M54.5     ,,,Tramadol,TRAMAHEXAL,,Yes,,Yes,,63.36,70.96,,,,,Yes,,,,,,,,,,,TAB,20,,
TRANSACT L.A.T 0.40MG/PAD,810487,M54.5,,,Flurbiprofen,TRANSACT L.A.T 0.40MG/PAD,,Yes,,Yes,,165.51,185.37,,,,,Yes,,,,,,,,,,,PTC,10,,
BRUFEN PAED SYRUP,710857,M54.5,,,Ibuprofen,BRUFEN PAED SYRUP,,Yes,,Yes,,45.86,51.36,,,,,Yes,,,,,,,,,,,SYR,100,,
IBUMOL,703719,M54.5,,,Ibuprofen combinations,IBUMOL,,Yes,,Yes,,28.66,32.1,,,,,Yes,,,,,,,,,,,TAB,18,,
IBUMOL BANANA FLAVOUR,705782,M54.5,,,Ibuprofen combinations,IBUMOL BANANA FLAVOUR,,Yes,,Yes,,47.9,53.65,,,,,Yes,,,,,,,,,,,SUS,100,,
IBUMOL GRAPE FLAVOUR,705781,M54.5,,,Ibuprofen combinations,IBUMOL GRAPE FLAVOUR,,Yes,,Yes,,47.9,53.65,,,,,Yes,,,,,,,,,,,SUS,100,,
GEN-PAYNE,704606,m54.5,,,Ibuprofen combinations,GEN-PAYNE,,Yes,,Yes,,58.86,65.92,,,,,Yes,,,,,,,,,,,CAP,30,,
LOTEM,824496,M54.5,,,Ibuprofen combinations,LOTEM,,Yes,,Yes,,68.51,76.73,,,,,Yes,,,,,,,,,,,SUS,100,,
MYPRODOL,745561,M54.5,,,Ibuprofen combinations,MYPRODOL,,Yes,,Yes,,86.07,96.4,,,,,Yes,,,,,,,,,,,CAP,30,,
MYPRODOL,745561,M54.5,,,Ibuprofen combinations,MYPRODOL,,Yes,,Yes,,286.61,321,,,,,Yes,,,,,,,,,,,CAP,100,,
MYPRODOL,793744,M54.5,,,Ibuprofen combinations,MYPRODOL,,Yes,,Yes,,101.04,113.16,,,,,Yes,,,,,,,,,,,SYR,100,,
NUROFEN PLUS,706306,M54.5,,,Ibuprofen combinations,NUROFEN PLUS,,Yes,,Yes,,80.57,90.24,,,,,Yes,,,,,,,,,,,TAB,24,,
PANADO PLUS,716543,M54.5,,,Paracetamol combinations,PANADO PLUS,,Yes,,Yes,,48.3,54.1,,,,,Yes,,,,,,,,,,,TAB,20,,
PANADO PLUS,716543,M54.5,,,Paracetamol combinations,PANADO PLUS,,Yes,,Yes,,120.75,135.24,,,,,Yes,,,,,,,,,,,TAB,50,,
MYPRODOL,793744,M54.5,,,Ibuprofen combinations,MYPRODOL,,Yes,,Yes,,82.6,92.51,,,,,Yes,,,,,,,,,,,SYR,100,,
MYBULEN,704791,M54.5,,,Ibuprofen combinations,MYBULEN,,Yes,,Yes,,61.01,68.33,,,,,Yes,,,,,,,,,,,CAP,30,,
MYBULEN,704791,M54.5,,,Ibuprofen combinations,MYBULEN,,Yes,,Yes,,203.43,227.84,,,,,Yes,,,,,,,,,,,CAP,100,,
MYBULEN,705245,M54.5,,,Ibuprofen combinations,MYBULEN,,Yes,,Yes,,61.94,69.37,,,,,Yes,,,,,,,,,,,TAB,30,,
MYPRODOL,745561,M54.5,,,Ibuprofen combinations,MYPRODOL,,Yes,,Yes,,37.65,42.17,,,,,Yes,,,,,,,,,,,CAP,10,,
MYPRODOL,745561,M54.5,,,Ibuprofen combinations,MYPRODOL,,Yes,,Yes,,112.91,126.46,,,,,Yes,,,,,,,,,,,CAP,30,,
MYPAID,810177,M54.5,,,Ibuprofen combinations,MYPAID,,Yes,,Yes,,65.81,73.71,,,,,Yes,,,,,,,,,,,TAB,30,,
INDOMETHACIN,290011,M54.5,,,Indometacin,INDOMETHACIN,,Yes,,Yes,,72.4,81.09,,,,,Yes,,,,,,,,,,,SUP,10,,
ARCOXIA,709110,M54.5,,,Etoricoxib,ARCOXIA,,Yes,,Yes,,298.62,334.45,,,,,Yes,,,,,,,,,,,CAP,30,,
ARCOXIA,709108,M54.5,,,Etoricoxib,ARCOXIA,,Yes,,Yes,,246.76,276.37,,,,,Yes,,,,,,,,,,,CAP,30,,
ARCOXIA,709109,M54.5,,,Etoricoxib,ARCOXIA,,Yes,,Yes,,264.42,296.15,,,,,Yes,,,,,,,,,,,CAP,30,,
DEPO-MEDROL,718475,M54.4     ,,,Methylprednisolone,DEPO-MEDROL,,Yes,,Yes,,74.12,83.01,,,,,Yes,,,,,,,,,,,INJ,1,,
CALCIUM CARBONATE,906921,M54.1     ,,,Calcium Carbonate,CALCIUM CARBONATE,,Yes,,Yes,,0.4,0.45,,,,,Yes,,,,,,,,,,,TAB,60,,
AUSTELL-TRAMADOL,710250,M54.1     ,,,Tramadol,AUSTELL-TRAMADOL,,Yes,,Yes,,37.15,41.61,,,,,Yes,,,,,,,,,,,TAB,20,,
NOVALAC 3,706089,M54       ,,,Milk supplements,NOVALAC 3,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,PWD,30,,
ADCO-NAPACOD ,745707,M54       ,,,Paracetamol combinations excl. psycholeptics,ADCO-NAPACOD ,,Yes,,Yes,,2188.98,2451.66,,,,,Yes,,,,,,,,,,,TAB,5000,,
LYRICA,709804,M47.27    ,,,Pregabalin,LYRICA,,Yes,,Yes,,170.45,190.9,,,,,Yes,,,,,,,,,,,CAP,60,,
LYRICA,709805,M47.27    ,,,Pregabalin,LYRICA,,Yes,,Yes,,428.83,480.29,,,,,Yes,,,,,,,,,,,CAP,56,,
LYRICA,709806,M47.27    ,,,Pregabalin,LYRICA,,Yes,,Yes,,634.55,710.7,,,,,Yes,,,,,,,,,,,CAP,30,,
MORPHINE SULPH FRESENIUS,744549,M46.9     ,,,Morphine,MORPHINE SULPH FRESENIUS,,Yes,,Yes,,71.06,79.59,,,,,Yes,,,,,,,,,,,INJ,2,,
TRAMADOL DENK,267649,M46.9     ,,,Tramadol,TRAMADOL DENK,,Yes,,Yes,,87.3,97.78,,,,,Yes,,,,,,,,,,,TAB,20,,
XEFO,860662,M43.63    ,,,Lornoxicam,XEFO,,Yes,,Yes,,134.82,151,,,,,Yes,,,,,,,,,,,TAB,30,,
DIABEN CARAMEL,894274,M43.62    ,,,Diaben,DIABEN CARAMEL,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,10,,
NORFLEX CO,747548,M43.6     ,,,Orphenadrine combinations,NORFLEX CO,,Yes,,Yes,,189.22,211.93,,,,,Yes,,,,,,,,,,,TAB,100,,
CELESTONE AMPOULE 1ML,713155,M43.6     ,,,Betamethasone,CELESTONE AMPOULE 1ML,,Yes,,Yes,,452.54,506.84,,,,,Yes,,,,,,,,,,,INJ,1,,
TRAMAHEXAL 100MG/2ML,704048,M43.6     ,,,Tramadol,TRAMAHEXAL 100MG/2ML,,Yes,,Yes,,103.38,115.79,,,,,Yes,,,,,,,,,,,INJ,1,,
NORFLEX CO,747548,M43.6,,,Orphenadrine combinations,NORFLEX CO,,Yes,,Yes,,75.69,84.77,,,,,Yes,,,,,,,,,,,TAB,48,,
NORFLEX CO,747548,M43.6,,,Orphenadrine combinations,NORFLEX CO,,Yes,,Yes,,37.84,42.38,,,,,Yes,,,,,,,,,,,TAB,24,,
MEDROL,741116,M43       ,,,Methylprednisolone,MEDROL,,Yes,,Yes,,153.84,172.3,,,,,Yes,,,,,,,,,,,TAB,10,,
PONSTEL FORTE,810371,M4.75,,,Mefenamic acid,PONSTEL FORTE,,Yes,,Yes,,129.94,145.53,,,,,Yes,,,,,,,,,,,TAB,100,,
CELLCEPT,833630,M32.9     ,,,Mycophenolic acid,CELLCEPT,,Yes,,Yes,,1923.68,2154.52,,,,,Yes,,,,,,,,,,,DRP,60,,
METHOTREXATE,742465,M32,,,Methotrexate,METHOTREXATE,,Yes,,Yes,,193.65,216.89,,,,,Yes,,,,,,,,,,,TAB,100,,
METHOTREXATE,967410,M32,,,Methotrexate,METHOTREXATE,,Yes,,Yes,,219.49,245.83,,,,,Yes,,,,,,,,,,,TAB,20,,
VITAMIN B12 1ML,776548,M25.9     ,,,Cyanocobalamin,VITAMIN B12 1ML,,Yes,,Yes,,77.09,86.34,,,,,Yes,,,,,,,,,,,INJ,10,,
ARTHREXIN,704725,M25.9     ,,,Indometacin,ARTHREXIN,,Yes,,Yes,,26.5,29.68,,,,,Yes,,,,,,,,,,,CAP,30,,
METHACIN 25MG,967267,M25.9     ,,,Indometacin,METHACIN 25MG,,Yes,,Yes,,74.11,83,,,,,Yes,,,,,,,,,,,CAP,30,,
ADCO-INDOMETHACIN,701106,M25.9     ,,,Indometacin,ADCO-INDOMETHACIN,,Yes,,Yes,,114.83,128.61,,,,,Yes,,,,,,,,,,,CAP,30,,
METHOCID 25MG CAPSULES,967066,M25.9     ,,,Indometacin,METHOCID 25MG CAPSULES,,Yes,,Yes,,0.02,0.02,,,,,Yes,,,,,,,,,,,CAP,30,,
APO INDOMETHACIN 25MG TAB,967171,M25.9     ,,,Indometacin,APO INDOMETHACIN 25MG TAB,,Yes,,Yes,,104.18,116.68,,,,,Yes,,,,,,,,,,,CAP,30,,
INDOMETHACIN,290008,M25.9     ,,,Indomethacin,INDOMETHACIN,,Yes,,Yes,,11.02,12.34,,,,,Yes,,,,,,,,,,,CAP,30,,
THERMORUB,795445,M25.9     ,,,Methylsalicylate,THERMORUB,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,OIN,30,,
CELESTONE 5ML,821594,M25.9     ,,,Betamethasone,CELESTONE 5ML,,Yes,,Yes,,452.54,506.84,,,,,Yes,,,,,,,,,,,INJ,1,,
REMETHAN,267434,M25.9     ,,,Diclofenac,REMETHAN,,Yes,,Yes,,76.77,85.98,,,,,Yes,,,,,,,,,,,GEL,30,,
DICLOFENAC SR BIOTECH,718480,M25.9     ,,,Diclofenac,DICLOFENAC SR BIOTECH,,Yes,,Yes,,76.77,85.98,,,,,Yes,,,,,,,,,,,TAB,30,,
DICLOFENAC,904112,M25.9     ,,,Diclofenac,DICLOFENAC,,Yes,,Yes,,76.77,85.98,,,,,Yes,,,,,,,,,,,TAB,30,,
Q CARE DICLOFENAC,808601,M25.9     ,,,Diclofenac,Q CARE DICLOFENAC,,Yes,,Yes,,150.48,168.54,,,,,Yes,,,,,,,,,,,TAB,1,,
VOLTAREN EMULGEL,778257,M25.9     ,,,Diclofenac,VOLTAREN EMULGEL,,Yes,,Yes,,91.84,102.86,,,,,Yes,,,,,,,,,,,GEL,50,,
REMETHAN GEL,267212,M25.9     ,,,Diclofenac,REMETHAN GEL,,Yes,,Yes,,20.83,23.33,,,,,Yes,,,,,,,,,,,GEL,20,,
REMETHAN GEL,267212,M25.9     ,,,Diclofenac,REMETHAN GEL,,Yes,,Yes,,104.14,116.64,,,,,Yes,,,,,,,,,,,GEL,50,,
REMETHAN GEL,267212,M25.9     ,,,Diclofenac,REMETHAN GEL,,Yes,,Yes,,84.99,95.19,,,,,Yes,,,,,,,,,,,GEL,100,,
PANAMOR-75,780111,M25.9     ,,,Diclofenac,PANAMOR-75,,Yes,,Yes,,18.29,20.48,,,,,Yes,,,,,,,,,,,INJ,1,,
CATAFLAM D DISPERSIBLE,813036,M25.9     ,,,Diclofenac,CATAFLAM D DISPERSIBLE,,Yes,,Yes,,66.82,74.84,,,,,Yes,,,,,,,,,,,TAB,15,,
ADCO-DICLOFENAC 3ML,701114,M25.9     ,,,Diclofenac,ADCO-DICLOFENAC 3ML,,Yes,,Yes,,17.66,19.78,,,,,Yes,,,,,,,,,,,INJ,1,,
OSTEOFLAM,267471,M25.9     ,,,Diclofenac,OSTEOFLAM,,Yes,,Yes,,6.48,7.26,,,,,Yes,,,,,,,,,,,TAB,1,,
VOLTAREN EMULGEL,778257,M25.9     ,,,Diclofenac,VOLTAREN EMULGEL,,Yes,,Yes,,183.69,205.73,,,,,Yes,,,,,,,,,,,GEL,100,,
VOLTAREN,778214,M25.9     ,,,Diclofenac,VOLTAREN,,Yes,,Yes,,80.15,89.77,,,,,Yes,,,,,,,,,,,TAB,5,,
VOLTAREN 3ML,778249,M25.9     ,,,Diclofenac,VOLTAREN 3ML,,Yes,,Yes,,83.97,94.05,,,,,Yes,,,,,,,,,,,INJ,1,,
TRIO-DICLOFENAC 3ML,895024,M25.9     ,,,Diclofenac,TRIO-DICLOFENAC 3ML,,Yes,,Yes,,65.63,73.51,,,,,Yes,,,,,,,,,,,INJ,1,,
DICLOFENAC,290371,M25.9     ,,,Diclofenac,DICLOFENAC,,Yes,,Yes,,12.45,13.94,,,,,Yes,,,,,,,,,,,INJ,1,,
VOLTAREN,780863,M25.9     ,,,Diclofenac,VOLTAREN,,Yes,,Yes,,85.73,96.02,,,,,Yes,,,,,,,,,,,TAB,5,,
DICLOFENAC POTASSIUM 50MG,900036,M25.9     ,,,Diclofenac,DICLOFENAC POTASSIUM 50MG,,Yes,,Yes,,12.46,13.96,,,,,Yes,,,,,,,,,,,TAB,20,,
PANAMOR GEL,702511,M25.9     ,,,Diclofenac,PANAMOR GEL,,Yes,,Yes,,32.56,36.47,,,,,Yes,,,,,,,,,,,GEL,50,,
DICLOFENAC SODIUM,904031,M25.9     ,,,Diclofenac,DICLOFENAC SODIUM,,Yes,,Yes,,6.54,7.32,,,,,Yes,,,,,,,,,,,INJ,1,,
CATAFLAM,712602,M25.9     ,,,Diclofenac,CATAFLAM,,Yes,,Yes,,34.45,38.58,,,,,Yes,,,,,,,,,,,TAB,15,,
A-LENNON DICLOFENAC,893398,M25.9     ,,,Diclofenac,A-LENNON DICLOFENAC,,Yes,,Yes,,82.62,92.53,,,,,Yes,,,,,,,,,,,TAB,15,,
PANAMOR,752371,M25.9     ,,,Diclofenac,PANAMOR,,Yes,,Yes,,30.08,33.69,,,,,Yes,,,,,,,,,,,TAB,20,,
REMETHAN,967434,M25.9     ,,,Diclofenac,REMETHAN,,Yes,,Yes,,55.57,62.24,,,,,Yes,,,,,,,,,,,GEL,10,,
DICLOHEXAL GEL,702362,M25.9     ,,,Diclofenac,DICLOHEXAL GEL,,Yes,,Yes,,37.34,41.82,,,,,Yes,,,,,,,,,,,GEL,50,,
DICLOFENAC,290017,M25.9     ,,,Diclofenac,DICLOFENAC,,Yes,,Yes,,37.34,41.82,,,,,Yes,,,,,,,,,,,TAB,20,,
REMETHAN GEL,967212,M25.9     ,,,Diclofenac,REMETHAN GEL,,Yes,,Yes,,88.3,98.9,,,,,Yes,,,,,,,,,,,GEL,100,,
REMETHAN GEL,967212,M25.9     ,,,Diclofenac,REMETHAN GEL,,Yes,,Yes,,49.6,55.55,,,,,Yes,,,,,,,,,,,GEL,50,,
REMETHAN GEL,967212,M25.9     ,,,Diclofenac,REMETHAN GEL,,Yes,,Yes,,26.43,29.6,,,,,Yes,,,,,,,,,,,GEL,20,,
SANDOZ DICLOFENAC,719838,M25.9     ,,,Diclofenac,SANDOZ DICLOFENAC,,Yes,,Yes,,19.04,21.32,,,,,Yes,,,,,,,,,,,TAB,20,,
VOLTAREN 'GT',788597,M25.9     ,,,Diclofenac,VOLTAREN 'GT',,Yes,,Yes,,234.36,262.48,,,,,Yes,,,,,,,,,,,TAB,20,,
SANDOZ DICLOFENAC SODIUM 100 SIMPLE REG,834327,M25.9     ,,,Diclofenac,SANDOZ DICLOFENAC SODIUM 100 SIMPLE REG,,Yes,,Yes,,49.6,55.55,,,,,Yes,,,,,,,,,,,TAB,30,,
DICLOFENAC SODIUM,900567,M25.9     ,,,Diclofenac,DICLOFENAC SODIUM,,Yes,,Yes,,49.6,55.55,,,,,Yes,,,,,,,,,,,TAB,30,,
